event_id,customer_id,timestamp,reason_stated,new_device_model,swap_location_city,distance_from_home_km,hours_since_last_login_change,is_fraud_label
SWP000135,CUST11095,2026-04-18 20:00:00,damaged_sim,Ea Neo5,Jakarta,14.1,594.0,0
SWP000034,CUST10288,2026-04-19 18:00:00,lost_phone,Quia A2,Malang,11.1,700.0,0
SWP000154,CUST11058,2026-04-21 14:00:00,device_upgrade,Rerum X10,Malang,1.6,646.0,0
SWP000046,CUST10609,2026-04-22 10:00:00,device_upgrade,Vitae Neo5,Yogyakarta,4.0,388.0,0
SWP000092,CUST11038,2026-04-22 12:00:00,damaged_sim,Ratione A2,Malang,2.8,271.0,0
SWP000091,CUST10566,2026-04-22 19:00:00,sim_card_defect,Nihil Neo5,Pekanbaru,6.8,198.0,0
SWP000165,CUST10243,2026-04-23 08:00:00,sim_card_defect,Neque Neo5,Denpasar,13.6,463.0,0
SWP000148,CUST10542,2026-04-23 09:00:00,damaged_sim,Et A2,Palembang,7.1,106.0,0
SWP000090,CUST10845,2026-04-24 19:00:00,sim_card_defect,Deserunt Neo5,Semarang,1.4,395.0,0
SWP000097,CUST10583,2026-04-25 08:00:00,sim_card_defect,Quisquam A2,Balikpapan,8.6,190.0,0
SWP000048,CUST10685,2026-04-25 12:00:00,lost_phone,Voluptatem A2,Surabaya,10.1,528.0,0
SWP000055,CUST10119,2026-04-25 17:00:00,damaged_sim,Suscipit Neo5,Yogyakarta,0.1,220.0,0
SWP000036,CUST10190,2026-04-26 13:00:00,sim_card_defect,Soluta Pro8,Balikpapan,10.5,581.0,0
SWP000022,CUST10654,2026-04-26 19:00:00,sim_card_defect,Sed Pro8,Medan,15.0,120.0,0
SWP000183,CUST10162,2026-04-27 03:00:00,lost_phone,Unregistered_Device_c0f3be,Malang,1136.0,0.94,1
SWP000143,CUST10913,2026-04-27 11:00:00,sim_card_defect,Magnam Neo5,Bandung,4.6,171.0,0
SWP000113,CUST10144,2026-04-27 12:00:00,sim_card_defect,Nobis A2,Palembang,0.0,514.0,0
SWP000146,CUST10027,2026-04-27 18:00:00,damaged_sim,Voluptatem Pro8,Jakarta,9.7,385.0,0
SWP000107,CUST10391,2026-04-28 09:00:00,device_upgrade,Ipsa Neo5,Yogyakarta,7.3,304.0,0
SWP000178,CUST10303,2026-04-28 15:00:00,sim_card_defect,Reiciendis X10,Balikpapan,14.3,294.0,0
SWP000132,CUST10758,2026-04-28 20:00:00,sim_card_defect,Recusandae Neo5,Malang,2.8,394.0,0
SWP000026,CUST10164,2026-04-30 14:00:00,device_upgrade,Totam Neo5,Makassar,3.8,278.0,0
SWP000114,CUST10751,2026-04-30 19:00:00,device_upgrade,Voluptas Pro8,Bandung,9.5,97.0,0
SWP000069,CUST11116,2026-05-01 16:00:00,damaged_sim,Dignissimos Pro8,Surabaya,11.8,127.0,0
SWP000071,CUST10581,2026-05-02 10:00:00,sim_card_defect,Dolore Pro8,Makassar,14.1,473.0,0
SWP000106,CUST11177,2026-05-02 16:00:00,lost_phone,Odio X10,Yogyakarta,15.0,30.0,0
SWP000085,CUST11105,2026-05-02 16:00:00,sim_card_defect,Id A2,Makassar,5.1,148.0,0
SWP000065,CUST10971,2026-05-02 20:00:00,damaged_sim,Iusto Pro8,Balikpapan,7.0,677.0,0
SWP000105,CUST10232,2026-05-03 19:00:00,damaged_sim,Rerum A2,Semarang,2.3,525.0,0
SWP000008,CUST10343,2026-05-05 14:00:00,device_upgrade,Odit X10,Medan,3.8,54.0,0
SWP000002,CUST10448,2026-05-06 11:00:00,damaged_sim,Sit X10,Palembang,8.8,76.0,0
SWP000020,CUST10592,2026-05-06 14:00:00,lost_phone,Eveniet A2,Malang,7.8,503.0,0
SWP000172,CUST10477,2026-05-06 19:00:00,lost_phone,Ipsam Neo5,Surabaya,12.6,397.0,0
SWP000200,CUST11074,2026-05-07 02:00:00,lost_phone,Unregistered_Device_935bcc,Semarang,979.0,1.3,1
SWP000108,CUST10201,2026-05-07 09:00:00,damaged_sim,Commodi Pro8,Semarang,1.2,578.0,0
SWP000128,CUST10468,2026-05-07 12:00:00,sim_card_defect,Amet Neo5,Bandung,9.2,324.0,0
SWP000060,CUST10904,2026-05-07 14:00:00,device_upgrade,Aliquam A2,Semarang,14.0,104.0,0
SWP000027,CUST10427,2026-05-07 15:00:00,sim_card_defect,Molestias Pro8,Surabaya,4.9,547.0,0
SWP000140,CUST10304,2026-05-07 15:00:00,sim_card_defect,Tempora Pro8,Surabaya,4.7,124.0,0
SWP000176,CUST10846,2026-05-07 16:00:00,sim_card_defect,Sit Pro8,Jakarta,9.3,118.0,0
SWP000011,CUST10852,2026-05-07 18:00:00,damaged_sim,Recusandae X10,Palembang,14.7,236.0,0
SWP000123,CUST10150,2026-05-09 16:00:00,device_upgrade,Ipsam A2,Semarang,6.2,134.0,0
SWP000083,CUST10197,2026-05-10 13:00:00,device_upgrade,Tempore X10,Medan,7.1,106.0,0
SWP000153,CUST10131,2026-05-10 17:00:00,lost_phone,Maxime A2,Makassar,3.1,680.0,0
SWP000198,CUST10956,2026-05-12 01:00:00,lost_phone,Unregistered_Device_20d882,Balikpapan,1235.5,0.27,1
SWP000041,CUST10897,2026-05-12 08:00:00,lost_phone,Libero Pro8,Yogyakarta,5.4,70.0,0
SWP000094,CUST10147,2026-05-12 14:00:00,sim_card_defect,Nam Pro8,Semarang,9.8,604.0,0
SWP000063,CUST10915,2026-05-13 08:00:00,device_upgrade,Repellendus Pro8,Malang,2.5,359.0,0
SWP000047,CUST10997,2026-05-13 13:00:00,damaged_sim,Rem X10,Denpasar,5.3,232.0,0
SWP000137,CUST11169,2026-05-14 08:00:00,damaged_sim,Nulla X10,Malang,10.6,399.0,0
SWP000031,CUST10103,2026-05-14 11:00:00,lost_phone,Labore Pro8,Makassar,9.7,657.0,0
SWP000074,CUST11077,2026-05-14 11:00:00,lost_phone,Atque A2,Jakarta,9.5,719.0,0
SWP000017,CUST10072,2026-05-15 08:00:00,sim_card_defect,Nobis Pro8,Balikpapan,6.9,343.0,0
SWP000073,CUST11183,2026-05-15 10:00:00,damaged_sim,Repudiandae X10,Denpasar,11.1,196.0,0
SWP000006,CUST10619,2026-05-17 08:00:00,lost_phone,Reiciendis Pro8,Jakarta,13.6,632.0,0
SWP000010,CUST11147,2026-05-17 16:00:00,device_upgrade,Amet A2,Malang,8.8,22.0,0
SWP000032,CUST11142,2026-05-17 17:00:00,device_upgrade,Voluptatem Pro8,Denpasar,14.7,508.0,0
SWP000125,CUST10783,2026-05-18 14:00:00,lost_phone,Est X10,Balikpapan,3.4,229.0,0
SWP000112,CUST10932,2026-05-19 10:00:00,lost_phone,Laborum A2,Semarang,3.6,544.0,0
SWP000195,CUST10110,2026-05-20 03:00:00,lost_phone,Unregistered_Device_d636a8,Balikpapan,853.9,0.58,1
SWP000001,CUST10822,2026-05-20 11:00:00,device_upgrade,Non A2,Jakarta,15.0,443.0,0
SWP000171,CUST10407,2026-05-20 15:00:00,lost_phone,Beatae X10,Pekanbaru,0.1,202.0,0
SWP000005,CUST10290,2026-05-21 10:00:00,sim_card_defect,Quibusdam A2,Malang,7.5,715.0,0
SWP000188,CUST10512,2026-05-22 03:00:00,lost_phone,Unregistered_Device_91c33f,Pekanbaru,592.0,0.61,1
SWP000152,CUST10747,2026-05-22 08:00:00,damaged_sim,Voluptate A2,Palembang,8.8,285.0,0
SWP000119,CUST10019,2026-05-22 14:00:00,damaged_sim,Adipisci A2,Yogyakarta,13.5,653.0,0
SWP000186,CUST11047,2026-05-23 01:00:00,lost_phone,Unregistered_Device_c91ac2,Balikpapan,312.4,0.28,1
SWP000088,CUST10918,2026-05-23 15:00:00,sim_card_defect,Architecto Pro8,Yogyakarta,11.6,277.0,0
SWP000049,CUST10328,2026-05-24 10:00:00,damaged_sim,Voluptate X10,Pekanbaru,4.9,445.0,0
SWP000116,CUST10085,2026-05-24 12:00:00,sim_card_defect,Facere Neo5,Jakarta,2.6,359.0,0
SWP000190,CUST10342,2026-05-25 02:00:00,lost_phone,Unregistered_Device_d572d4,Yogyakarta,1713.7,1.5,1
SWP000023,CUST10157,2026-05-25 16:00:00,sim_card_defect,Ea Neo5,Semarang,1.5,386.0,0
SWP000162,CUST10880,2026-05-25 17:00:00,device_upgrade,Quia Neo5,Pekanbaru,6.6,456.0,0
SWP000104,CUST10586,2026-05-25 19:00:00,damaged_sim,Occaecati A2,Yogyakarta,10.3,451.0,0
SWP000194,CUST10222,2026-05-26 02:00:00,lost_phone,Unregistered_Device_0465a8,Medan,765.4,0.58,1
SWP000007,CUST11117,2026-05-26 16:00:00,damaged_sim,Tenetur X10,Yogyakarta,1.2,714.0,0
SWP000084,CUST10886,2026-05-26 17:00:00,lost_phone,Odit Pro8,Semarang,6.2,630.0,0
SWP000174,CUST11096,2026-05-27 09:00:00,damaged_sim,Illum X10,Denpasar,11.5,182.0,0
SWP000158,CUST10456,2026-05-27 17:00:00,damaged_sim,Maxime Pro8,Semarang,8.8,231.0,0
SWP000197,CUST10671,2026-05-28 02:00:00,lost_phone,Unregistered_Device_97e3e2,Yogyakarta,306.9,0.51,1
SWP000180,CUST10216,2026-05-29 14:00:00,lost_phone,Similique A2,Medan,9.9,642.0,0
SWP000066,CUST10323,2026-05-30 08:00:00,damaged_sim,Ducimus A2,Malang,6.7,157.0,0
SWP000019,CUST11078,2026-05-30 15:00:00,device_upgrade,Perspiciatis X10,Pekanbaru,0.4,669.0,0
SWP000078,CUST10610,2026-05-30 20:00:00,sim_card_defect,Placeat Neo5,Bandung,7.0,373.0,0
SWP000086,CUST10624,2026-05-31 11:00:00,device_upgrade,Perferendis Neo5,Surabaya,0.5,256.0,0
SWP000102,CUST10173,2026-05-31 20:00:00,lost_phone,In Neo5,Jakarta,4.7,311.0,0
SWP000179,CUST10065,2026-06-01 11:00:00,damaged_sim,Iusto A2,Bandung,1.4,141.0,0
SWP000061,CUST10143,2026-06-01 14:00:00,device_upgrade,Quam A2,Palembang,4.4,588.0,0
SWP000181,CUST10908,2026-06-02 00:00:00,lost_phone,Unregistered_Device_481d07,Medan,1416.8,0.83,1
SWP000045,CUST11135,2026-06-02 08:00:00,sim_card_defect,Suscipit X10,Medan,13.8,644.0,0
SWP000149,CUST11108,2026-06-02 09:00:00,sim_card_defect,Iste X10,Medan,13.0,528.0,0
SWP000075,CUST10499,2026-06-02 11:00:00,lost_phone,Libero Neo5,Pekanbaru,5.8,525.0,0
SWP000051,CUST10381,2026-06-02 13:00:00,device_upgrade,Eligendi X10,Balikpapan,3.0,369.0,0
SWP000191,CUST11190,2026-06-03 03:00:00,lost_phone,Unregistered_Device_422ba8,Medan,1328.6,0.9,1
SWP000177,CUST10557,2026-06-04 13:00:00,sim_card_defect,Ratione Neo5,Denpasar,4.2,46.0,0
SWP000124,CUST10670,2026-06-04 19:00:00,lost_phone,Voluptatem A2,Pekanbaru,9.0,404.0,0
SWP000118,CUST11072,2026-06-05 16:00:00,device_upgrade,Aliquid Neo5,Palembang,8.9,556.0,0
SWP000127,CUST10073,2026-06-05 18:00:00,lost_phone,Eius Neo5,Semarang,12.4,119.0,0
SWP000134,CUST10540,2026-06-06 09:00:00,damaged_sim,Sint A2,Palembang,13.0,21.0,0
SWP000098,CUST10377,2026-06-06 18:00:00,damaged_sim,Vel Neo5,Semarang,9.1,44.0,0
SWP000136,CUST10330,2026-06-06 19:00:00,lost_phone,Officiis Pro8,Malang,8.7,559.0,0
SWP000193,CUST10270,2026-06-06 23:00:00,lost_phone,Unregistered_Device_450713,Yogyakarta,1408.5,0.21,1
SWP000199,CUST10031,2026-06-08 00:00:00,lost_phone,Unregistered_Device_b93a50,Malang,406.8,1.26,1
SWP000157,CUST11086,2026-06-08 09:00:00,damaged_sim,Dolorum Neo5,Balikpapan,8.1,76.0,0
SWP000121,CUST10429,2026-06-09 18:00:00,device_upgrade,Exercitationem Neo5,Denpasar,6.1,530.0,0
SWP000170,CUST10927,2026-06-10 08:00:00,lost_phone,Ex Pro8,Medan,14.1,435.0,0
SWP000054,CUST10378,2026-06-10 10:00:00,lost_phone,Consectetur A2,Semarang,10.1,533.0,0
SWP000122,CUST10649,2026-06-10 11:00:00,lost_phone,Libero X10,Surabaya,3.3,42.0,0
SWP000187,CUST10133,2026-06-11 01:00:00,lost_phone,Unregistered_Device_4e2b95,Denpasar,599.6,0.94,1
SWP000173,CUST10400,2026-06-11 08:00:00,device_upgrade,Sint Pro8,Semarang,3.2,373.0,0
SWP000145,CUST10526,2026-06-11 09:00:00,device_upgrade,Reiciendis Pro8,Denpasar,14.4,504.0,0
SWP000110,CUST10168,2026-06-11 10:00:00,sim_card_defect,Eligendi X10,Denpasar,10.6,328.0,0
SWP000160,CUST11004,2026-06-11 10:00:00,damaged_sim,Culpa A2,Palembang,4.3,388.0,0
SWP000175,CUST10355,2026-06-11 11:00:00,sim_card_defect,Qui Neo5,Palembang,3.6,307.0,0
SWP000062,CUST10522,2026-06-11 13:00:00,sim_card_defect,Veniam Neo5,Surabaya,5.4,132.0,0
SWP000025,CUST11009,2026-06-11 15:00:00,lost_phone,Nulla X10,Makassar,13.3,329.0,0
SWP000129,CUST10349,2026-06-11 16:00:00,damaged_sim,Repudiandae A2,Palembang,1.7,239.0,0
SWP000142,CUST10671,2026-06-11 19:00:00,sim_card_defect,Totam X10,Medan,3.4,513.0,0
SWP000072,CUST10646,2026-06-12 09:00:00,lost_phone,Cumque X10,Malang,12.7,137.0,0
SWP000139,CUST11067,2026-06-12 09:00:00,lost_phone,Culpa A2,Balikpapan,4.9,152.0,0
SWP000040,CUST10679,2026-06-12 16:00:00,damaged_sim,Nihil Pro8,Yogyakarta,1.6,27.0,0
SWP000182,CUST10704,2026-06-12 23:00:00,lost_phone,Unregistered_Device_3f7dd3,Medan,637.6,0.51,1
SWP000185,CUST11051,2026-06-12 23:00:00,lost_phone,Unregistered_Device_38ae1b,Bandung,608.8,1.18,1
SWP000189,CUST10903,2026-06-13 00:00:00,lost_phone,Unregistered_Device_3e9d54,Makassar,664.2,0.57,1
SWP000050,CUST10759,2026-06-13 13:00:00,device_upgrade,Ipsa X10,Malang,13.9,83.0,0
SWP000099,CUST10847,2026-06-13 20:00:00,sim_card_defect,Nostrum A2,Pekanbaru,9.5,640.0,0
SWP000141,CUST10962,2026-06-14 10:00:00,sim_card_defect,Recusandae Neo5,Bandung,6.0,553.0,0
SWP000035,CUST10603,2026-06-14 13:00:00,device_upgrade,Quibusdam A2,Jakarta,12.8,56.0,0
SWP000156,CUST10960,2026-06-15 09:00:00,sim_card_defect,Accusamus A2,Semarang,2.9,661.0,0
SWP000038,CUST10744,2026-06-15 12:00:00,damaged_sim,Totam A2,Yogyakarta,0.2,635.0,0
SWP000163,CUST10727,2026-06-15 13:00:00,damaged_sim,Dolorem A2,Pekanbaru,11.4,516.0,0
SWP000003,CUST10806,2026-06-15 13:00:00,lost_phone,Necessitatibus X10,Jakarta,1.8,580.0,0
SWP000164,CUST10980,2026-06-15 16:00:00,damaged_sim,Officiis Neo5,Makassar,12.6,583.0,0
SWP000089,CUST10445,2026-06-16 15:00:00,damaged_sim,A A2,Jakarta,7.7,536.0,0
SWP000015,CUST10574,2026-06-16 16:00:00,lost_phone,Aut A2,Denpasar,4.4,579.0,0
SWP000082,CUST10730,2026-06-17 13:00:00,sim_card_defect,Recusandae Pro8,Bandung,8.1,424.0,0
SWP000053,CUST10505,2026-06-18 08:00:00,device_upgrade,Sed Pro8,Bandung,12.7,456.0,0
SWP000056,CUST10097,2026-06-18 19:00:00,sim_card_defect,Modi X10,Denpasar,1.4,32.0,0
SWP000184,CUST10411,2026-06-20 02:00:00,lost_phone,Unregistered_Device_f12d2e,Makassar,1752.3,1.3,1
SWP000039,CUST10314,2026-06-20 09:00:00,lost_phone,Quisquam X10,Pekanbaru,6.5,216.0,0
SWP000166,CUST11136,2026-06-20 12:00:00,sim_card_defect,Veniam X10,Medan,14.3,608.0,0
SWP000068,CUST10891,2026-06-20 13:00:00,lost_phone,Cupiditate Pro8,Malang,8.5,645.0,0
SWP000192,CUST10978,2026-06-21 03:00:00,lost_phone,Unregistered_Device_48fb95,Yogyakarta,1362.7,1.18,1
SWP000159,CUST10450,2026-06-21 17:00:00,damaged_sim,Laudantium X10,Denpasar,9.0,646.0,0
SWP000120,CUST10324,2026-06-21 19:00:00,lost_phone,Nemo X10,Yogyakarta,10.9,85.0,0
SWP000021,CUST10235,2026-06-22 10:00:00,damaged_sim,Beatae Pro8,Denpasar,0.0,394.0,0
SWP000138,CUST10266,2026-06-22 16:00:00,damaged_sim,Beatae Pro8,Semarang,1.8,10.0,0
SWP000161,CUST10548,2026-06-22 16:00:00,lost_phone,Dolorem Pro8,Medan,12.1,325.0,0
SWP000150,CUST11191,2026-06-23 11:00:00,damaged_sim,Enim Pro8,Surabaya,0.9,477.0,0
SWP000058,CUST10357,2026-06-23 18:00:00,device_upgrade,Ipsa A2,Semarang,7.8,173.0,0
SWP000196,CUST10465,2026-06-25 01:00:00,lost_phone,Unregistered_Device_2bdcc3,Bandung,1480.6,1.15,1
SWP000167,CUST10321,2026-06-26 09:00:00,device_upgrade,Enim A2,Pekanbaru,3.8,523.0,0
SWP000109,CUST11032,2026-06-26 15:00:00,lost_phone,Nihil A2,Jakarta,10.6,584.0,0
SWP000126,CUST10697,2026-06-26 20:00:00,device_upgrade,Optio X10,Medan,6.4,306.0,0
SWP000168,CUST10626,2026-06-26 20:00:00,damaged_sim,Nobis Neo5,Semarang,9.7,209.0,0
SWP000103,CUST10198,2026-06-27 12:00:00,damaged_sim,Rem Neo5,Malang,14.9,274.0,0
SWP000070,CUST10983,2026-06-27 13:00:00,damaged_sim,Aperiam X10,Yogyakarta,6.8,225.0,0
SWP000030,CUST11043,2026-06-27 17:00:00,sim_card_defect,Officia Pro8,Semarang,14.8,191.0,0
SWP000095,CUST10901,2026-06-27 20:00:00,lost_phone,Inventore Pro8,Surabaya,11.5,88.0,0
SWP000131,CUST10896,2026-06-28 14:00:00,lost_phone,Fugit A2,Balikpapan,7.4,538.0,0
SWP000147,CUST10668,2026-06-28 16:00:00,damaged_sim,Modi X10,Denpasar,14.2,684.0,0
SWP000100,CUST10311,2026-06-28 16:00:00,lost_phone,Praesentium A2,Surabaya,6.2,682.0,0
SWP000144,CUST11061,2026-06-29 10:00:00,sim_card_defect,Deserunt X10,Yogyakarta,12.7,565.0,0
SWP000079,CUST10095,2026-06-29 19:00:00,lost_phone,Minus X10,Denpasar,3.1,432.0,0
SWP000042,CUST10249,2026-06-30 14:00:00,device_upgrade,Ex A2,Semarang,11.6,271.0,0
SWP000029,CUST10107,2026-06-30 19:00:00,sim_card_defect,Aliquam X10,Balikpapan,12.7,236.0,0
