scenario,customer_id,l1_band,l2_risk_level,risk_level,action,override_applied,n_fired,n_fired_uncited
L1 rendah (0.05),CUST10355,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10114,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10555,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10057,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10791,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10254,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST11185,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10089,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10915,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10848,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST11057,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10967,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10712,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10865,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10645,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10453,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10105,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10589,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10339,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10164,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10166,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10045,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10384,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10309,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10318,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10099,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10118,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST11021,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10922,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10562,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10880,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10023,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10383,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10557,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10486,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST11005,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10294,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST11159,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10939,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10186,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10916,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10734,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10091,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10586,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10377,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10762,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10643,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10571,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10577,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10900,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10846,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10073,LOW,MEDIUM,MEDIUM,Escalate,False,1,0
L1 rendah (0.05),CUST10364,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10924,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10208,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10835,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 tinggi (0.95),CUST11146,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10190,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10220,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10228,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10306,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10314,HIGH,HIGH,HIGH,Block,False,2,0
L1 tinggi (0.95),CUST10321,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10480,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10683,HIGH,HIGH,HIGH,Block,False,2,0
L1 tinggi (0.95),CUST10239,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10283,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11043,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10568,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11006,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11092,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10817,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10135,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10664,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10636,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10189,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10335,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10838,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11033,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11083,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10537,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10933,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10476,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10741,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11026,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10273,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10910,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11197,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11049,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10883,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10102,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10770,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10061,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10068,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10907,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10162,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11074,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10956,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10110,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10512,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11047,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10342,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10222,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10671,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10908,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11190,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10270,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10031,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10133,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10704,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11051,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10903,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10411,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10978,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST10465,HIGH,HIGH,HIGH,Block,False,1,0
L1 tinggi (0.95),CUST11127,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10951,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10308,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10882,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10355,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10114,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10555,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10057,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10791,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10254,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST11185,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10089,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10915,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10848,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST11057,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10967,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10712,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10865,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10645,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10453,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10105,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10589,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10339,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10164,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10166,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10045,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10384,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10309,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10318,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10099,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10118,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST11021,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10922,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10562,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10880,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10023,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10383,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10557,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10486,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST11005,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10294,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST11159,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10939,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10186,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10916,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10734,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10091,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10586,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10377,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10762,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10643,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10571,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10577,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10900,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10846,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10073,HIGH,MEDIUM,MEDIUM,Escalate,False,1,0
L1 tinggi (0.95),CUST10364,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10924,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10208,HIGH,NONE,NONE,Escalate,False,0,0
L1 tinggi (0.95),CUST10835,HIGH,NONE,NONE,Escalate,False,0,0
