customer_id,confidence_score,l1_band,l2_risk_level,risk_level,action,override_applied,case_path,error
CUST10933,0.9383554504431171,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10933-20260825.json,
CUST10476,0.9478535102852912,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10476-20260825.json,
CUST10741,0.9495929285432967,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10741-20260825.json,
CUST11026,0.9257387456105962,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST11026-20260825.json,
CUST10273,0.9299034115346321,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10273-20260825.json,
CUST10910,0.9194955871296905,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10910-20260825.json,
CUST11197,0.9276284908033713,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST11197-20260825.json,
CUST11049,0.9266904350407213,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST11049-20260825.json,
CUST10883,0.9341480243210151,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10883-20260825.json,
CUST10102,0.9197510033880962,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10102-20260825.json,
CUST10770,0.9262404797730746,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10770-20260825.json,
CUST10061,0.902767773083092,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10061-20260825.json,
CUST10068,0.8808432583648983,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10068-20260825.json,
CUST10907,0.9034728209083434,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10907-20260825.json,
CUST10000,0.8789056268454982,HIGH,NONE,NONE,Escalate,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10000-20260825.json,
CUST10001,0.1187099901421001,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10001-20260825.json,
CUST10002,0.1449447346644087,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10002-20260825.json,
CUST10003,0.11718531799319087,LOW,MEDIUM,MEDIUM,Escalate,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10003-20260825.json,
CUST10004,0.14873913069355302,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10004-20260825.json,
CUST10005,0.0779451905305535,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10005-20260825.json,
CUST10006,0.1442960429921934,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10006-20260825.json,
CUST10007,0.38518413953018094,BORDERLINE,NONE,NONE,Escalate,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10007-20260825.json,
CUST10008,0.1793758868879091,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10008-20260825.json,
CUST10009,0.1555369940480346,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10009-20260825.json,
CUST10010,0.1385722966897944,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10010-20260825.json,
CUST10011,0.9005189686696263,HIGH,NONE,NONE,Escalate,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10011-20260825.json,
CUST10012,0.14752769758746945,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10012-20260825.json,
CUST10013,0.08655028074326471,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10013-20260825.json,
CUST10014,0.14594382914334642,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10014-20260825.json,
CUST10015,0.1057577974731613,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10015-20260825.json,
CUST10016,0.10547630110618728,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10016-20260825.json,
CUST10017,0.10124869187847399,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10017-20260825.json,
CUST10018,0.05395170713510476,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10018-20260825.json,
CUST10019,0.13806613940440268,LOW,NONE,NONE,Auto-Approve,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10019-20260825.json,
